Lat,Lon
37.58,-122.33
37.58,-122.05
37.58,-122.01
37.58,-121.89
37.58,-120.97
37.58,-120.85
37.54,-122.37
37.54,-122.33
37.54,-122.29
37.54,-122.25
37.54,-122.05
37.54,-122.01
37.54,-121.97
37.54,-121.93
37.54,-119.65
37.5,-122.41
37.5,-122.33
37.5,-122.29
37.5,-122.25
37.5,-122.21
37.5,-121.97
37.5,-121.93
37.5,-120.89
37.5,-120.85
37.46,-122.29
37.46,-122.25
37.46,-122.21
37.46,-122.17
37.46,-122.13
37.46,-121.93
37.46,-121.17
37.46,-121.13
37.46,-120.85
37.46,-120.81
37.42,-122.33
37.42,-122.25
37.42,-122.21
37.42,-122.17
37.42,-122.13
37.42,-122.09
37.42,-122.05
37.42,-121.97
37.42,-121.93
37.42,-121.89
37.42,-121.85
37.42,-121.09
37.42,-120.85
37.42,-120.77
37.38,-122.25
37.38,-122.21
37.38,-122.17
37.38,-122.13
37.38,-122.09
37.38,-122.05
37.38,-122.01
37.38,-121.97
37.38,-121.93
37.38,-121.89
37.38,-121.85
37.38,-121.81
37.38,-121.13
37.38,-120.81
37.38,-120.73
37.38,-120.61
37.38,-120.57
37.38,-120.45
37.34,-122.09
37.34,-122.05
37.34,-122.01
37.34,-121.97
37.34,-121.93
37.34,-121.89
37.34,-121.85
37.34,-121.81
37.34,-121.77
37.34,-120.85
37.34,-120.61
37.34,-120.49
37.34,-120.45
37.34,-119.77
37.3,-122.29
37.3,-122.09
37.3,-122.05
37.3,-122.01
37.3,-121.97
37.3,-121.93
37.3,-121.89
37.3,-121.85
37.3,-121.81
37.3,-121.77
37.3,-120.85
37.3,-120.73
37.3,-120.69
37.3,-120.49
37.3,-120.45
37.3,-119.65
37.26,-122.13
37.26,-122.05
37.26,-122.01
37.26,-121.97
37.26,-121.93
37.26,-121.89
37.26,-121.85
37.26,-121.81
37.26,-121.01
37.26,-120.97
37.26,-120.85
37.22,-121.97
37.22,-121.89
37.22,-121.85
37.22,-121.81
37.22,-121.77
37.22,-119.49
37.18,-120.49
37.14,-122.13
37.14,-122.09
37.14,-121.97
37.14,-121.69
37.14,-121.65
37.14,-121.61
37.1,-121.65
37.1,-121.61
37.1,-121.01
37.1,-120.93
