Lat,Lon
41.66,-121.17
41.66,-121.13
41.66,-121.09
41.66,-121.05
41.66,-121.01
41.66,-120.97
41.66,-120.93
41.66,-120.89
41.66,-120.85
41.66,-120.81
41.66,-120.77
41.66,-120.73
41.66,-120.69
41.66,-120.65
41.66,-120.61
41.66,-120.57
41.66,-120.53
41.66,-120.49
41.66,-120.45
41.66,-120.41
41.66,-120.37
41.66,-120.33
41.66,-120.29
41.66,-120.25
41.66,-120.21
41.66,-120.17
41.66,-120.13
41.66,-120.09
41.66,-120.05
41.66,-120.01
41.62,-124.13
41.62,-124.09
41.62,-124.05
41.62,-124.01
41.62,-123.97
41.62,-123.93
41.62,-123.89
41.62,-123.85
41.62,-123.81
41.62,-123.77
41.62,-123.73
41.62,-123.69
41.62,-123.65
41.62,-123.61
41.62,-123.57
41.62,-123.53
41.62,-123.49
41.62,-123.45
41.62,-123.41
41.62,-123.37
41.62,-123.33
41.62,-123.29
41.62,-123.25
41.62,-123.21
41.62,-123.17
41.62,-123.13
41.62,-123.09
41.62,-123.05
41.62,-123.01
41.62,-122.97
41.62,-122.93
41.62,-122.89
41.62,-122.85
41.62,-122.81
41.62,-122.77
41.62,-122.73
41.62,-122.69
41.62,-122.65
41.62,-122.61
41.62,-122.57
41.62,-122.53
41.62,-122.49
41.62,-122.45
41.62,-122.41
41.62,-122.37
41.62,-122.33
41.62,-122.29
41.62,-122.25
41.62,-122.21
41.62,-122.17
41.62,-122.13
41.62,-122.09
41.62,-122.05
41.62,-122.01
41.62,-121.97
41.62,-121.93
41.62,-121.89
41.62,-121.85
41.62,-121.81
41.62,-121.77
41.62,-121.73
41.62,-121.69
41.62,-121.65
41.62,-121.61
41.62,-121.57
41.62,-121.53
41.62,-121.49
41.62,-121.45
41.62,-121.41
41.62,-121.37
41.62,-121.33
41.62,-121.29
41.62,-121.25
41.62,-121.21
41.62,-121.17
41.62,-121.13
41.62,-121.09
41.62,-121.05
41.62,-121.01
41.62,-120.97
41.62,-120.93
41.62,-120.89
41.62,-120.85
41.62,-120.81
41.62,-120.77
41.62,-120.73
41.62,-120.69
41.62,-120.65
41.62,-120.61
41.62,-120.57
41.62,-120.53
41.62,-120.49
41.62,-120.45
41.62,-120.41
41.62,-120.37
41.62,-120.33
41.62,-120.29
41.62,-120.25
41.62,-120.21
41.62,-120.17
41.62,-120.13
41.62,-120.09
41.62,-120.05
41.62,-120.01
41.58,-124.09
41.58,-124.05
41.58,-124.01
41.58,-123.97
41.58,-123.93
41.58,-123.89
41.58,-123.85
41.58,-123.81
41.58,-123.77
41.58,-123.73
41.58,-123.69
41.58,-123.65
41.58,-123.61
41.58,-123.57
41.58,-123.53
41.58,-123.49
41.58,-123.45
41.58,-123.41
41.58,-123.37
41.58,-123.33
41.58,-123.29
41.58,-123.25
41.58,-123.21
41.58,-123.17
41.58,-123.13
41.58,-123.09
41.58,-123.05
41.58,-123.01
41.58,-122.97
41.58,-122.93
41.58,-122.89
41.58,-122.85
41.58,-122.81
41.58,-122.77
41.58,-122.73
41.58,-122.69
41.58,-122.65
41.58,-122.61
41.58,-122.57
41.58,-122.53
41.58,-122.49
41.58,-122.45
41.58,-122.41
41.58,-122.37
41.58,-122.33
41.58,-122.29
41.58,-122.25
41.58,-122.21
41.58,-122.17
41.58,-122.13
41.58,-122.09
41.58,-122.05
41.58,-122.01
41.58,-121.97
41.58,-121.93
41.58,-121.89
41.58,-121.85
41.58,-121.81
41.58,-121.77
41.58,-121.73
41.58,-121.69
41.58,-121.65
41.58,-121.61
41.58,-121.57
41.58,-121.53
41.58,-121.49
41.58,-121.45
41.58,-121.41
41.58,-121.37
41.58,-121.33
41.58,-121.29
41.58,-121.25
41.58,-121.21
41.58,-121.17
41.58,-121.13
41.58,-121.09
41.58,-121.05
41.58,-121.01
41.58,-120.97
41.58,-120.93
41.58,-120.89
41.58,-120.85
41.58,-120.81
41.58,-120.77
41.58,-120.73
41.58,-120.69
41.58,-120.65
41.58,-120.61
41.58,-120.57
41.58,-120.53
41.58,-120.49
41.58,-120.45
41.58,-120.41
41.58,-120.37
41.58,-120.33
41.58,-120.29
41.58,-120.25
41.58,-120.21
41.58,-120.17
41.58,-120.13
41.58,-120.09
41.58,-120.05
41.58,-120.01
41.54,-124.09
41.54,-124.05
41.54,-124.01
41.54,-123.97
41.54,-123.93
41.54,-123.89
41.54,-123.85
41.54,-123.81
41.54,-123.77
41.54,-123.73
41.54,-123.69
41.54,-123.65
41.54,-123.61
41.54,-123.57
41.54,-123.53
41.54,-123.49
41.54,-123.45
41.54,-123.41
41.54,-123.37
41.54,-123.33
41.54,-123.29
41.54,-123.25
41.54,-123.21
41.54,-123.17
41.54,-123.13
41.54,-123.09
41.54,-123.05
41.54,-123.01
41.54,-122.97
41.54,-122.93
41.54,-122.89
41.54,-122.85
41.54,-122.81
41.54,-122.77
41.54,-122.73
41.54,-122.69
41.54,-122.65
41.54,-122.61
41.54,-122.57
41.54,-122.53
41.54,-122.49
41.54,-122.45
41.54,-122.41
41.54,-122.37
41.54,-122.33
41.54,-122.29
41.54,-122.25
41.54,-122.21
41.54,-122.17
41.54,-122.13
41.54,-122.09
41.54,-122.05
41.54,-122.01
41.54,-121.97
41.54,-121.93
41.54,-121.89
41.54,-121.85
41.54,-121.81
41.54,-121.77
41.54,-121.73
41.54,-121.69
41.54,-121.65
41.54,-121.61
41.54,-121.57
41.54,-121.53
41.54,-121.49
41.54,-121.45
41.54,-121.41
41.54,-121.37
41.54,-121.33
41.54,-121.29
41.54,-121.25
41.54,-121.21
41.54,-121.17
41.54,-121.13
41.54,-121.09
41.54,-121.05
41.54,-121.01
41.54,-120.97
41.54,-120.93
41.54,-120.89
41.54,-120.85
41.54,-120.81
41.54,-120.77
41.54,-120.73
41.54,-120.69
41.54,-120.65
41.54,-120.61
41.54,-120.57
41.54,-120.53
41.54,-120.49
41.54,-120.45
41.54,-120.41
41.54,-120.37
41.54,-120.33
41.54,-120.29
41.54,-120.25
41.54,-120.21
41.54,-120.17
41.54,-120.13
41.54,-120.09
41.54,-120.05
41.54,-120.01
41.5,-124.09
41.5,-124.05
41.5,-124.01
41.5,-123.97
41.5,-123.93
41.5,-123.89
41.5,-123.85
41.5,-123.81
41.5,-123.77
41.5,-123.73
41.5,-123.69
41.5,-123.65
41.5,-123.61
41.5,-123.57
41.5,-123.53
41.5,-123.49
41.5,-123.45
41.5,-123.41
41.5,-123.37
41.5,-123.33
41.5,-123.29
41.5,-123.25
41.5,-123.21
41.5,-123.17
41.5,-123.13
41.5,-123.09
41.5,-123.05
41.5,-123.01
41.5,-122.97
41.5,-122.93
41.5,-122.89
41.5,-122.85
41.5,-122.81
41.5,-122.77
41.5,-122.73
41.5,-122.69
41.5,-122.65
41.5,-122.61
41.5,-122.57
41.5,-122.53
41.5,-122.49
41.5,-122.45
41.5,-122.41
41.5,-122.37
41.5,-122.33
41.5,-122.29
41.5,-122.25
41.5,-122.21
41.5,-122.17
41.5,-122.13
41.5,-122.09
41.5,-122.05
41.5,-122.01
41.5,-121.97
41.5,-121.93
41.5,-121.89
41.5,-121.85
41.5,-121.81
41.5,-121.77
41.5,-121.73
41.5,-121.69
41.5,-121.65
41.5,-121.61
41.5,-121.57
41.5,-121.53
41.5,-121.49
41.5,-121.45
41.5,-121.41
41.5,-121.37
41.5,-121.33
41.5,-121.29
41.5,-121.25
41.5,-121.21
41.5,-121.17
41.5,-121.13
41.5,-121.09
41.5,-121.05
41.5,-121.01
41.5,-120.97
41.5,-120.93
41.5,-120.89
41.5,-120.85
41.5,-120.81
41.5,-120.77
41.5,-120.73
41.5,-120.69
41.5,-120.65
41.5,-120.61
41.5,-120.57
41.5,-120.53
41.5,-120.49
41.5,-120.45
41.5,-120.41
41.5,-120.37
41.5,-120.33
41.5,-120.29
41.5,-120.25
41.5,-120.21
41.5,-120.17
41.5,-120.13
41.5,-120.09
41.5,-120.05
41.5,-120.01
41.46,-124.05
41.46,-124.01
41.46,-123.97
41.46,-123.93
41.46,-123.89
41.46,-123.85
41.46,-123.81
41.46,-123.77
41.46,-123.73
41.46,-123.69
41.46,-123.65
41.46,-123.61
41.46,-123.57
41.46,-123.53
41.46,-123.49
41.46,-123.45
41.46,-123.41
41.46,-123.37
41.46,-123.33
41.46,-123.29
41.46,-123.25
41.46,-123.21
